scope_id,scope_value,loan_type,loan_status,created,effective_time,approx_block_height
2f389a9f-873d-4920-85a6-7734f27e1738,398820.67,FIGURE_HELOC,IN_REPAY,2024-02-21 13:50:30.620000 +00:00,2024-06-20 6:01:00,23056719
92fbfdc1-4476-4c32-b0f1-4fb6728a0e2e,170892.07,FIGURE_HELOC,IN_REPAY,2024-04-13 10:09:36.340000 +00:00,2024-06-20 6:01:00,23056719
8acf662b-ed83-485d-beff-5d9ea028ac3a,172755,FIGURE_HELOC,IN_REPAY,2024-06-12 08:10:55.220000 +00:00,2024-06-20 6:01:00,23056719
8301f0ec-e384-4b8f-83b4-a914f6636c97,173260.91,FIGURE_HELOC,IN_REPAY,2024-05-02 08:09:14.380000 +00:00,2024-06-20 6:01:00,23056719
950247c7-0768-4334-afca-9e16a9cde9e1,177878.58,FIGURE_HELOC,IN_REPAY,2024-05-28 20:33:45.790000 +00:00,2024-06-20 6:01:00,23056719
8741cf51-d45d-449f-b8f9-46de0db3d911,398551.83,FIGURE_HELOC,IN_REPAY,2024-01-31 08:35:36.190000 +00:00,2024-06-20 6:01:00,23056719
5f70e808-b461-4341-a6c6-65a31af2fc94,0,CRYPTO_PERSONAL_LOAN,PENDING_CLOSURE,2024-05-17 21:21:14.450000 +00:00,2024-06-20 6:01:00,23056719
8506d78c-1c82-4b9a-88ee-ce1663cb4680,175204.82,FIGURE_HELOC,IN_REPAY,2024-04-22 12:09:46.090000 +00:00,2024-06-20 6:01:00,23056719
3be90dce-fdd6-4a56-af70-99852a5bec67,50.5,CRYPTO_PERSONAL_LOAN,DELQ_1_9,2024-05-13 15:38:42.060000 +00:00,2024-06-20 6:01:00,23056719
38139bd6-e65a-4197-a195-e84b3aad62f5,395492.37,FIGURE_HELOC,IN_REPAY,2024-01-17 08:35:31.180000 +00:00,2024-06-20 6:01:00,23056719
eb2389fb-23e2-4720-837e-32a45e7e02f7,177141.04,FIGURE_HELOC,IN_REPAY,2024-04-26 07:50:29.670000 +00:00,2024-06-20 6:01:00,23056719
98f41aa9-ebc5-4cbe-8504-059bdd78f90f,171257.04,FIGURE_HELOC,IN_REPAY,2024-04-28 17:11:53.340000 +00:00,2024-06-20 6:01:00,23056719
384b0436-2cf4-458c-a3e9-0223c9faa900,398578.52,FIGURE_HELOC,IN_REPAY,2024-01-30 08:36:18.960000 +00:00,2024-06-20 6:01:00,23056719
c7536444-adeb-4dcb-bc08-9991abb129fa,399640.58,FIGURE_HELOC,IN_REPAY,2024-04-24 16:49:16.490000 +00:00,2024-06-20 6:01:00,23056719
